Areaname,STCOU,EAN010201F,EAN010201D,EAN010201N1,EAN010201N2,EAN010202F,EAN010202D,EAN010202N1,EAN010202N2,EAN010203F,EAN010203D,EAN010203N1,EAN010203N2,EAN010204F,EAN010204D,EAN010204N1,EAN010204N2,EAN010205F,EAN010205D,EAN010205N1,EAN010205N2,EAN010206F,EAN010206D,EAN010206N1,EAN010206N2,EAN010207F,EAN010207D,EAN010207N1,EAN010207N2,EAN012204F,EAN012204D,EAN012204N1,EAN012204N2,EAN012205F,EAN012205D,EAN012205N1,EAN012205N2,EAN012206F,EAN012206D,EAN012206N1,EAN012206N2,EAN012207F,EAN012207D,EAN012207N1,EAN012207N2
"Ste. Genevieve, MO",29186,0,203441,0000,0000,0,199843,0000,0000,0,212036,0000,0000,0,217875,0000,0000,0,234320,0000,0000,0,263558,0000,0000,0,281426,0000,0000,0,28266,0000,0000,0,29382,0000,0000,0,31552,0000,0000,0,34005,0000,0000
"St. Francois, MO",29187,0,633140,0000,0000,0,654301,0000,0000,0,703037,0000,0000,0,781727,0000,0000,0,820966,0000,0000,0,855978,0000,0000,0,920149,0000,0000,0,27304,0000,0000,0,27988,0000,0000,0,28737,0000,0000,0,29553,0000,0000
"St. Louis, MO",29189,0,34422606,0000,0000,0,35684839,0000,0000,0,36546996,0000,0000,0,37553090,0000,0000,0,38356895,0000,0000,0,40202432,0000,0000,0,41709931,0000,0000,0,48105,0000,0000,0,49262,0000,0000,0,51324,0000,0000,0,53471,0000,0000
"Saline, MO",29195,0,334204,0000,0000,0,322606,0000,0000,0,340535,0000,0000,0,379787,0000,0000,0,376052,0000,0000,0,393089,0000,0000,0,411975,0000,0000,0,29014,0000,0000,0,28145,0000,0000,0,29678,0000,0000,0,31991,0000,0000
"Schuyler, MO",29197,0,26623,0000,0000,0,25408,0000,0000,0,27491,0000,0000,0,29416,0000,0000,0,27655,0000,0000,0,28469,0000,0000,0,31126,0000,0000,0,16535,0000,0000,0,15624,0000,0000,0,16057,0000,0000,0,17526,0000,0000
"Scotland, MO",29199,0,45859,0000,0000,0,45315,0000,0000,0,50259,0000,0000,0,60683,0000,0000,0,54560,0000,0000,0,59622,0000,0000,0,63003,0000,0000,0,24157,0000,0000,0,21354,0000,0000,0,23409,0000,0000,0,24601,0000,0000
"Scott, MO",29201,0,549815,0000,0000,0,555265,0000,0000,0,583195,0000,0000,0,618847,0000,0000,0,637720,0000,0000,0,654851,0000,0000,0,668760,0000,0000,0,30021,0000,0000,0,30793,0000,0000,0,31599,0000,0000,0,33493,0000,0000
"Shannon, MO",29203,0,61922,0000,0000,0,62019,0000,0000,0,65360,0000,0000,0,68722,0000,0000,0,68627,0000,0000,0,68868,0000,0000,0,68057,0000,0000,0,19111,0000,0000,0,19261,0000,0000,0,19637,0000,0000,0,19653,0000,0000
"Shelby, MO",29205,0,81340,0000,0000,0,63913,0000,0000,0,70775,0000,0000,0,86037,0000,0000,0,73298,0000,0000,0,83993,0000,0000,0,97095,0000,0000,0,25868,0000,0000,0,21552,0000,0000,0,24282,0000,0000,0,27837,0000,0000
"Stoddard, MO",29207,0,354731,0000,0000,0,353015,0000,0000,0,426614,0000,0000,0,427438,0000,0000,0,453404,0000,0000,0,456226,0000,0000,0,462402,0000,0000,0,27148,0000,0000,0,27879,0000,0000,0,28220,0000,0000,0,29146,0000,0000
"Stone, MO",29209,0,264702,0000,0000,0,275879,0000,0000,0,299346,0000,0000,0,306796,0000,0000,0,325373,0000,0000,0,338818,0000,0000,0,344496,0000,0000,0,21227,0000,0000,0,21611,0000,0000,0,21958,0000,0000,0,22059,0000,0000
"Sullivan, MO",29211,0,118505,0000,0000,0,101771,0000,0000,0,93584,0000,0000,0,125525,0000,0000,0,124445,0000,0000,0,139784,0000,0000,0,160141,0000,0000,0,32570,0000,0000,0,31909,0000,0000,0,34937,0000,0000,0,41242,0000,0000
"Taney, MO",29213,0,724817,0000,0000,0,732979,0000,0000,0,762417,0000,0000,0,811757,0000,0000,0,861201,0000,0000,0,924748,0000,0000,0,1022797,0000,0000,0,27342,0000,0000,0,28242,0000,0000,0,28614,0000,0000,0,30046,0000,0000
"Texas, MO",29215,0,198795,0000,0000,0,189021,0000,0000,0,194123,0000,0000,0,207845,0000,0000,0,219155,0000,0000,0,222823,0000,0000,0,227854,0000,0000,0,21467,0000,0000,0,22054,0000,0000,0,22442,0000,0000,0,22701,0000,0000
"Vernon, MO",29217,0,261489,0000,0000,0,247026,0000,0000,0,265475,0000,0000,0,293760,0000,0000,0,293724,0000,0000,0,293821,0000,0000,0,308816,0000,0000,0,26075,0000,0000,0,25954,0000,0000,0,25961,0000,0000,0,27443,0000,0000
"Warren, MO",29219,0,231555,0000,0000,0,227648,0000,0000,0,242940,0000,0000,0,260144,0000,0000,0,272646,0000,0000,0,289162,0000,0000,0,292762,0000,0000,0,25205,0000,0000,0,25746,0000,0000,0,27290,0000,0000,0,27533,0000,0000
"Washington, MO",29221,0,145379,0000,0000,0,139479,0000,0000,0,149952,0000,0000,0,158761,0000,0000,0,171140,0000,0000,0,179331,0000,0000,0,187913,0000,0000,0,24645,0000,0000,0,25895,0000,0000,0,27097,0000,0000,0,28300,0000,0000
"Wayne, MO",29223,0,73137,0000,0000,0,72792,0000,0000,0,75606,0000,0000,0,78753,0000,0000,0,84449,0000,0000,0,87912,0000,0000,0,89571,0000,0000,0,20482,0000,0000,0,21445,0000,0000,0,22495,0000,0000,0,23187,0000,0000
"Webster, MO",29225,0,219302,0000,0000,0,217575,0000,0000,0,233514,0000,0000,0,259828,0000,0000,0,266893,0000,0000,0,279357,0000,0000,0,291279,0000,0000,0,22684,0000,0000,0,22523,0000,0000,0,22760,0000,0000,0,23562,0000,0000
"Worth, MO",29227,0,16267,0000,0000,0,14942,0000,0000,0,15840,0000,0000,0,18692,0000,0000,0,18546,0000,0000,0,17719,0000,0000,0,17899,0000,0000,0,16368,0000,0000,0,16383,0000,0000,0,15625,0000,0000,0,16140,0000,0000
"Wright, MO",29229,0,134669,0000,0000,0,131989,0000,0000,0,138538,0000,0000,0,151797,0000,0000,0,153315,0000,0000,0,152209,0000,0000,0,151952,0000,0000,0,20588,0000,0000,0,20690,0000,0000,0,20527,0000,0000,0,21029,0000,0000
"St. Louis city, MO",29510,0,13775274,0000,0000,0,14054563,0000,0000,0,13951898,0000,0000,0,14523809,0000,0000,0,15590540,0000,0000,0,15935419,0000,0000,0,16505724,0000,0000,0,54239,0000,0000,0,55941,0000,0000,0,57290,0000,0000,0,58341,0000,0000
MONTANA,30000,0,15130177,0000,0000,0,15973186,0000,0000,0,16957939,0000,0000,0,18361307,0000,0000,0,19742014,0000,0000,0,20798652,0000,0000,0,22293038,0000,0000,0,30706,0000,0000,0,32063,0000,0000,0,32974,0000,0000,0,34433,0000,0000
"Beaverhead, MT",30001,0,126087,0000,0000,0,132400,0000,0000,0,139568,0000,0000,0,146085,0000,0000,0,153863,0000,0000,0,161610,0000,0000,0,171074,0000,0000,0,26063,0000,0000,0,27266,0000,0000,0,27926,0000,0000,0,29099,0000,0000
"Big Horn, MT",30003,0,152656,0000,0000,0,153434,0000,0000,0,174107,0000,0000,0,191344,0000,0000,0,221641,0000,0000,0,203077,0000,0000,0,227841,0000,0000,0,31245,0000,0000,0,34278,0000,0000,0,31676,0000,0000,0,34843,0000,0000
"Blaine, MT",30005,0,61585,0000,0000,0,58479,0000,0000,0,63627,0000,0000,0,81023,0000,0000,0,89221,0000,0000,0,83295,0000,0000,0,94137,0000,0000,0,27143,0000,0000,0,28940,0000,0000,0,26603,0000,0000,0,29942,0000,0000
"Broadwater, MT",30007,0,46426,0000,0000,0,47233,0000,0000,0,49432,0000,0000,0,52865,0000,0000,0,57261,0000,0000,0,54991,0000,0000,0,64746,0000,0000,0,23126,0000,0000,0,24171,0000,0000,0,23125,0000,0000,0,26427,0000,0000
"Carbon, MT",30009,0,84319,0000,0000,0,82129,0000,0000,0,90411,0000,0000,0,103425,0000,0000,0,110539,0000,0000,0,108160,0000,0000,0,115306,0000,0000,0,18998,0000,0000,0,19906,0000,0000,0,19069,0000,0000,0,19994,0000,0000
"Carter, MT",30011,0,14662,0000,0000,0,7954,0000,0000,0,11960,0000,0000,0,14176,0000,0000,0,18470,0000,0000,0,10342,0000,0000,0,16392,0000,0000,0,15595,0000,0000,0,20364,0000,0000,0,11315,0000,0000,0,17817,0000,0000
"Cascade, MT",30013,0,1427316,0000,0000,0,1509575,0000,0000,0,1581880,0000,0000,0,1707884,0000,0000,0,1790504,0000,0000,0,1919264,0000,0000,0,1997165,0000,0000,0,34450,0000,0000,0,35624,0000,0000,0,37407,0000,0000,0,38741,0000,0000
"Chouteau, MT",30015,0,43957,0000,0000,0,48033,0000,0000,0,64020,0000,0000,0,66110,0000,0000,0,69148,0000,0000,0,67602,0000,0000,0,88791,0000,0000,0,21027,0000,0000,0,21882,0000,0000,0,21481,0000,0000,0,28763,0000,0000
"Custer, MT",30017,0,165154,0000,0000,0,167118,0000,0000,0,179090,0000,0000,0,189418,0000,0000,0,194640,0000,0000,0,198300,0000,0000,0,215041,0000,0000,0,26626,0000,0000,0,27264,0000,0000,0,27265,0000,0000,0,29040,0000,0000
"Daniels, MT",30019,0,33168,0000,0000,0,28200,0000,0000,0,30653,0000,0000,0,33919,0000,0000,0,32802,0000,0000,0,25511,0000,0000,0,35724,0000,0000,0,22856,0000,0000,0,22239,0000,0000,0,17473,0000,0000,0,24502,0000,0000
"Dawson, MT",30021,0,134542,0000,0000,0,133510,0000,0000,0,141713,0000,0000,0,142829,0000,0000,0,158685,0000,0000,0,159437,0000,0000,0,179017,0000,0000,0,26677,0000,0000,0,28763,0000,0000,0,28599,0000,0000,0,31467,0000,0000
"Deer Lodge, MT",30023,0,95102,0000,0000,0,97749,0000,0000,0,101748,0000,0000,0,107660,0000,0000,0,110913,0000,0000,0,115320,0000,0000,0,120679,0000,0000,0,24636,0000,0000,0,25156,0000,0000,0,25479,0000,0000,0,26378,0000,0000
"Fallon, MT",30025,0,45214,0000,0000,0,42848,0000,0000,0,51218,0000,0000,0,58433,0000,0000,0,73621,0000,0000,0,78628,0000,0000,0,86949,0000,0000,0,28827,0000,0000,0,34678,0000,0000,0,34745,0000,0000,0,38817,0000,0000
"Fergus, MT",30027,0,160533,0000,0000,0,156831,0000,0000,0,171526,0000,0000,0,191354,0000,0000,0,205838,0000,0000,0,196654,0000,0000,0,224924,0000,0000,0,25507,0000,0000,0,26974,0000,0000,0,25516,0000,0000,0,28417,0000,0000
"Flathead, MT",30029,0,1289199,0000,0000,0,1416782,0000,0000,0,1499976,0000,0000,0,1652962,0000,0000,0,1802844,0000,0000,0,1961014,0000,0000,0,2104358,0000,0000,0,29937,0000,0000,0,30962,0000,0000,0,32329,0000,0000,0,33234,0000,0000
"Gallatin, MT",30031,0,1398146,0000,0000,0,1501283,0000,0000,0,1627758,0000,0000,0,1788809,0000,0000,0,1997850,0000,0000,0,2207050,0000,0000,0,2347943,0000,0000,0,30060,0000,0000,0,31565,0000,0000,0,33150,0000,0000,0,34001,0000,0000
"Garfield, MT",30033,0,15618,0000,0000,0,13203,0000,0000,0,17958,0000,0000,0,17984,0000,0000,0,22006,0000,0000,0,16354,0000,0000,0,18506,0000,0000,0,20863,0000,0000,0,25323,0000,0000,0,18690,0000,0000,0,21053,0000,0000
"Glacier, MT",30035,0,165645,0000,0000,0,168269,0000,0000,0,178393,0000,0000,0,202110,0000,0000,0,217667,0000,0000,0,222903,0000,0000,0,224325,0000,0000,0,32276,0000,0000,0,34197,0000,0000,0,34156,0000,0000,0,35506,0000,0000
"Golden Valley, MT",30037,0,5144,0000,0000,0,3618,0000,0000,0,5445,0000,0000,0,5983,0000,0000,0,7900,0000,0000,0,6145,0000,0000,0,8518,0000,0000,0,10646,0000,0000,0,13739,0000,0000,0,10819,0000,0000,0,14712,0000,0000
"Granite, MT",30039,0,34699,0000,0000,0,35642,0000,0000,0,37576,0000,0000,0,38412,0000,0000,0,40402,0000,0000,0,41200,0000,0000,0,44543,0000,0000,0,20432,0000,0000,0,22005,0000,0000,0,21927,0000,0000,0,23199,0000,0000
"Hill, MT",30041,0,247143,0000,0000,0,259555,0000,0000,0,287937,0000,0000,0,299902,0000,0000,0,318366,0000,0000,0,328221,0000,0000,0,352850,0000,0000,0,30342,0000,0000,0,31920,0000,0000,0,32366,0000,0000,0,33882,0000,0000
"Jefferson, MT",30043,0,103965,0000,0000,0,120124,0000,0000,0,127321,0000,0000,0,148295,0000,0000,0,152512,0000,0000,0,152000,0000,0000,0,165388,0000,0000,0,27111,0000,0000,0,27475,0000,0000,0,27793,0000,0000,0,28170,0000,0000
"Judith Basin, MT",30045,0,16575,0000,0000,0,11934,0000,0000,0,16337,0000,0000,0,22054,0000,0000,0,24230,0000,0000,0,16728,0000,0000,0,22580,0000,0000,0,19709,0000,0000,0,21595,0000,0000,0,14856,0000,0000,0,20215,0000,0000
"Lake, MT",30047,0,287117,0000,0000,0,294995,0000,0000,0,312797,0000,0000,0,337785,0000,0000,0,354950,0000,0000,0,357220,0000,0000,0,382084,0000,0000,0,24398,0000,0000,0,24947,0000,0000,0,24926,0000,0000,0,26176,0000,0000
"Lewis and Clark, MT",30049,0,1203518,0000,0000,0,1273474,0000,0000,0,1339557,0000,0000,0,1416845,0000,0000,0,1507715,0000,0000,0,1650283,0000,0000,0,1785290,0000,0000,0,34955,0000,0000,0,36285,0000,0000,0,37902,0000,0000,0,39389,0000,0000
"Liberty, MT",30051,0,21449,0000,0000,0,27222,0000,0000,0,32772,0000,0000,0,29346,0000,0000,0,31947,0000,0000,0,31460,0000,0000,0,35020,0000,0000,0,23704,0000,0000,0,26079,0000,0000,0,26173,0000,0000,0,29305,0000,0000
"Lincoln, MT",30053,0,207358,0000,0000,0,208728,0000,0000,0,215301,0000,0000,0,224345,0000,0000,0,241153,0000,0000,0,258596,0000,0000,0,272783,0000,0000,0,24776,0000,0000,0,25406,0000,0000,0,26859,0000,0000,0,27654,0000,0000
"McCone, MT",30055,0,22150,0000,0000,0,17891,0000,0000,0,23812,0000,0000,0,24535,0000,0000,0,27029,0000,0000,0,21292,0000,0000,0,27412,0000,0000,0,19472,0000,0000,0,21034,0000,0000,0,16467,0000,0000,0,21135,0000,0000
"Madison, MT",30057,0,80179,0000,0000,0,79909,0000,0000,0,82130,0000,0000,0,120512,0000,0000,0,149537,0000,0000,0,162689,0000,0000,0,175885,0000,0000,0,23135,0000,0000,0,26341,0000,0000,0,27361,0000,0000,0,27465,0000,0000
"Meagher, MT",30059,0,22799,0000,0000,0,21521,0000,0000,0,24612,0000,0000,0,27286,0000,0000,0,29533,0000,0000,0,26560,0000,0000,0,27279,0000,0000,0,23007,0000,0000,0,24227,0000,0000,0,21842,0000,0000,0,22885,0000,0000
"Mineral, MT",30061,0,39087,0000,0000,0,39574,0000,0000,0,42109,0000,0000,0,43567,0000,0000,0,47494,0000,0000,0,51499,0000,0000,0,53872,0000,0000,0,21409,0000,0000,0,22319,0000,0000,0,24031,0000,0000,0,25092,0000,0000
"Missoula, MT",30063,0,2021652,0000,0000,0,2203204,0000,0000,0,2297062,0000,0000,0,2416725,0000,0000,0,2563750,0000,0000,0,2690017,0000,0000,0,2839115,0000,0000,0,32903,0000,0000,0,34112,0000,0000,0,35119,0000,0000,0,36060,0000,0000
"Musselshell, MT",30065,0,30878,0000,0000,0,33336,0000,0000,0,38353,0000,0000,0,42907,0000,0000,0,47014,0000,0000,0,48009,0000,0000,0,50178,0000,0000,0,21464,0000,0000,0,23205,0000,0000,0,23557,0000,0000,0,25127,0000,0000
"Park, MT",30067,0,179382,0000,0000,0,193017,0000,0000,0,198084,0000,0000,0,210443,0000,0000,0,231607,0000,0000,0,247934,0000,0000,0,258519,0000,0000,0,22589,0000,0000,0,23892,0000,0000,0,24594,0000,0000,0,25333,0000,0000
"Petroleum, MT",30069,0,4634,0000,0000,0,3119,0000,0000,0,5307,0000,0000,0,4934,0000,0000,0,5831,0000,0000,0,5048,0000,0000,0,6355,0000,0000,0,14728,0000,0000,0,16901,0000,0000,0,14506,0000,0000,0,17851,0000,0000
"Phillips, MT",30071,0,50241,0000,0000,0,43605,0000,0000,0,49049,0000,0000,0,56293,0000,0000,0,57282,0000,0000,0,51767,0000,0000,0,60955,0000,0000,0,20950,0000,0000,0,21632,0000,0000,0,19302,0000,0000,0,22685,0000,0000
"Pondera, MT",30073,0,65518,0000,0000,0,73059,0000,0000,0,77805,0000,0000,0,83431,0000,0000,0,88639,0000,0000,0,89734,0000,0000,0,91448,0000,0000,0,26596,0000,0000,0,27358,0000,0000,0,27217,0000,0000,0,27695,0000,0000
"Powder River, MT",30075,0,18447,0000,0000,0,13437,0000,0000,0,17740,0000,0000,0,18736,0000,0000,0,21396,0000,0000,0,16461,0000,0000,0,19773,0000,0000,0,16082,0000,0000,0,18040,0000,0000,0,13844,0000,0000,0,16757,0000,0000
"Powell, MT",30077,0,87374,0000,0000,0,88365,0000,0000,0,93668,0000,0000,0,95465,0000,0000,0,103720,0000,0000,0,110909,0000,0000,0,111857,0000,0000,0,26914,0000,0000,0,28835,0000,0000,0,30171,0000,0000,0,30900,0000,0000
"Prairie, MT",30079,0,13748,0000,0000,0,11566,0000,0000,0,14680,0000,0000,0,15443,0000,0000,0,18291,0000,0000,0,13792,0000,0000,0,15685,0000,0000,0,22811,0000,0000,0,26624,0000,0000,0,20193,0000,0000,0,23306,0000,0000
"Ravalli, MT",30081,0,391606,0000,0000,0,412867,0000,0000,0,427640,0000,0000,0,469135,0000,0000,0,500782,0000,0000,0,524736,0000,0000,0,555853,0000,0000,0,24660,0000,0000,0,25441,0000,0000,0,26062,0000,0000,0,27054,0000,0000
"Richland, MT",30083,0,146144,0000,0000,0,143504,0000,0000,0,157607,0000,0000,0,177681,0000,0000,0,205146,0000,0000,0,227126,0000,0000,0,264677,0000,0000,0,27197,0000,0000,0,29573,0000,0000,0,31913,0000,0000,0,35276,0000,0000
"Roosevelt, MT",30085,0,120358,0000,0000,0,123166,0000,0000,0,137997,0000,0000,0,147871,0000,0000,0,146123,0000,0000,0,137651,0000,0000,0,157402,0000,0000,0,27207,0000,0000,0,27105,0000,0000,0,25773,0000,0000,0,29643,0000,0000
"Rosebud, MT",30087,0,189255,0000,0000,0,188552,0000,0000,0,215155,0000,0000,0,224580,0000,0000,0,230229,0000,0000,0,236463,0000,0000,0,248206,0000,0000,0,35807,0000,0000,0,38352,0000,0000,0,40574,0000,0000,0,41750,0000,0000
"Sanders, MT",30089,0,97544,0000,0000,0,102218,0000,0000,0,110827,0000,0000,0,117294,0000,0000,0,122695,0000,0000,0,132995,0000,0000,0,137135,0000,0000,0,21002,0000,0000,0,21716,0000,0000,0,22626,0000,0000,0,23145,0000,0000
"Sheridan, MT",30091,0,50738,0000,0000,0,45002,0000,0000,0,54838,0000,0000,0,58947,0000,0000,0,58018,0000,0000,0,51038,0000,0000,0,58952,0000,0000,0,23740,0000,0000,0,23115,0000,0000,0,20374,0000,0000,0,23246,0000,0000
"Silver Bow, MT",30093,0,570821,0000,0000,0,605385,0000,0000,0,641343,0000,0000,0,690765,0000,0000,0,743180,0000,0000,0,783238,0000,0000,0,827928,0000,0000,0,35116,0000,0000,0,37090,0000,0000,0,38555,0000,0000,0,40031,0000,0000
"Stillwater, MT",30095,0,198679,0000,0000,0,163456,0000,0000,0,163806,0000,0000,0,184584,0000,0000,0,188513,0000,0000,0,191026,0000,0000,0,198204,0000,0000,0,34801,0000,0000,0,35976,0000,0000,0,36200,0000,0000,0,37082,0000,0000
"Sweet Grass, MT",30097,0,43448,0000,0000,0,69570,0000,0000,0,74027,0000,0000,0,82773,0000,0000,0,91466,0000,0000,0,93175,0000,0000,0,109847,0000,0000,0,29839,0000,0000,0,31903,0000,0000,0,31931,0000,0000,0,36555,0000,0000
"Teton, MT",30099,0,65859,0000,0000,0,74535,0000,0000,0,83553,0000,0000,0,92026,0000,0000,0,94815,0000,0000,0,92921,0000,0000,0,102143,0000,0000,0,26278,0000,0000,0,26455,0000,0000,0,25395,0000,0000,0,27216,0000,0000
"Toole, MT",30101,0,81523,0000,0000,0,89710,0000,0000,0,97533,0000,0000,0,105554,0000,0000,0,118944,0000,0000,0,119449,0000,0000,0,122176,0000,0000,0,30675,0000,0000,0,34209,0000,0000,0,34265,0000,0000,0,35230,0000,0000
"Treasure, MT",30103,0,7910,0000,0000,0,6697,0000,0000,0,6529,0000,0000,0,9071,0000,0000,0,9121,0000,0000,0,6262,0000,0000,0,7108,0000,0000,0,19424,0000,0000,0,19785,0000,0000,0,13793,0000,0000,0,15691,0000,0000
"Valley, MT",30105,0,113221,0000,0000,0,112390,0000,0000,0,125645,0000,0000,0,137855,0000,0000,0,139940,0000,0000,0,122240,0000,0000,0,130577,0000,0000,0,29519,0000,0000,0,29711,0000,0000,0,25822,0000,0000,0,27091,0000,0000
"Wheatland, MT",30107,0,19135,0000,0000,0,14905,0000,0000,0,17855,0000,0000,0,20681,0000,0000,0,23678,0000,0000,0,20022,0000,0000,0,23395,0000,0000,0,18367,0000,0000,0,21047,0000,0000,0,17687,0000,0000,0,20414,0000,0000
"Wibaux, MT",30109,0,10814,0000,0000,0,8726,0000,0000,0,11362,0000,0000,0,10357,0000,0000,0,13101,0000,0000,0,10434,0000,0000,0,14048,0000,0000,0,15435,0000,0000,0,19612,0000,0000,0,15596,0000,0000,0,20781,0000,0000
"Yellowstone, MT",30111,0,2800736,0000,0000,0,2990578,0000,0000,0,3117730,0000,0000,0,3400499,0000,0000,0,3658452,0000,0000,0,3882800,0000,0000,0,4195080,0000,0000,0,35549,0000,0000,0,37158,0000,0000,0,38806,0000,0000,0,40553,0000,0000
"Yellowstone National Park, MT",30113,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000
NEBRASKA,31000,0,37966022,0000,0000,0,38517315,0000,0000,0,41393507,0000,0000,0,43536886,0000,0000,0,45253596,0000,0000,0,46821755,0000,0000,0,49988090,0000,0000,0,36311,0000,0000,0,37325,0000,0000,0,38203,0000,0000,0,40139,0000,0000
"Adams, NE",31001,0,532411,0000,0000,0,543051,0000,0000,0,560780,0000,0000,0,582893,0000,0000,0,603338,0000,0000,0,616370,0000,0000,0,680270,0000,0000,0,28304,0000,0000,0,28919,0000,0000,0,29605,0000,0000,0,31745,0000,0000
"Antelope, NE",31003,0,100771,0000,0000,0,97066,0000,0000,0,117125,0000,0000,0,111513,0000,0000,0,113551,0000,0000,0,106430,0000,0000,0,119296,0000,0000,0,23899,0000,0000,0,23875,0000,0000,0,22582,0000,0000,0,25259,0000,0000
"Arthur, NE",31005,0,-1821,0000,0000,0,-1449,0000,0000,0,689,0000,0000,0,1113,0000,0000,0,771,0000,0000,0,506,0000,0000,0,44,0000,0000,0,3511,0000,0000,0,2351,0000,0000,0,1576,0000,0000,0,137,0000,0000
"Banner, NE",31007,0,7202,0000,0000,0,5495,0000,0000,0,11395,0000,0000,0,10203,0000,0000,0,10939,0000,0000,0,8667,0000,0000,0,10039,0000,0000,0,23295,0000,0000,0,24693,0000,0000,0,20109,0000,0000,0,23347,0000,0000
"Blaine, NE",31009,0,252,0000,0000,0,63,0000,0000,0,3435,0000,0000,0,4049,0000,0000,0,3028,0000,0000,0,2954,0000,0000,0,2103,0000,0000,0,9308,0000,0000,0,6961,0000,0000,0,6902,0000,0000,0,5019,0000,0000
"Boone, NE",31011,0,79580,0000,0000,0,75752,0000,0000,0,91049,0000,0000,0,89310,0000,0000,0,96687,0000,0000,0,86193,0000,0000,0,101396,0000,0000,0,24223,0000,0000,0,26096,0000,0000,0,23096,0000,0000,0,26578,0000,0000
"Box Butte, NE",31013,0,268066,0000,0000,0,247381,0000,0000,0,258708,0000,0000,0,266392,0000,0000,0,289540,0000,0000,0,300713,0000,0000,0,317947,0000,0000,0,35921,0000,0000,0,38299,0000,0000,0,40020,0000,0000,0,42365,0000,0000
"Boyd, NE",31015,0,20357,0000,0000,0,12548,0000,0000,0,21078,0000,0000,0,17288,0000,0000,0,20854,0000,0000,0,16377,0000,0000,0,20483,0000,0000,0,12500,0000,0000,0,15390,0000,0000,0,12314,0000,0000,0,15389,0000,0000
"Brown, NE",31017,0,41188,0000,0000,0,39453,0000,0000,0,49349,0000,0000,0,53237,0000,0000,0,58128,0000,0000,0,54090,0000,0000,0,54999,0000,0000,0,23504,0000,0000,0,25023,0000,0000,0,23538,0000,0000,0,24165,0000,0000
"Buffalo, NE",31019,0,831447,0000,0000,0,880839,0000,0000,0,964269,0000,0000,0,975135,0000,0000,0,1036459,0000,0000,0,1085045,0000,0000,0,1172103,0000,0000,0,29711,0000,0000,0,30734,0000,0000,0,31410,0000,0000,0,33397,0000,0000
"Burt, NE",31021,0,78529,0000,0000,0,69477,0000,0000,0,79520,0000,0000,0,77458,0000,0000,0,78540,0000,0000,0,77385,0000,0000,0,88041,0000,0000,0,22062,0000,0000,0,22249,0000,0000,0,21664,0000,0000,0,24294,0000,0000
"Butler, NE",31023,0,86490,0000,0000,0,67447,0000,0000,0,90732,0000,0000,0,108200,0000,0000,0,103630,0000,0000,0,98632,0000,0000,0,122093,0000,0000,0,24714,0000,0000,0,23574,0000,0000,0,22249,0000,0000,0,26851,0000,0000
"Cass, NE",31025,0,184630,0000,0000,0,168560,0000,0000,0,196297,0000,0000,0,222683,0000,0000,0,223139,0000,0000,0,219530,0000,0000,0,231796,0000,0000,0,22830,0000,0000,0,22691,0000,0000,0,22170,0000,0000,0,23053,0000,0000
"Cedar, NE",31027,0,143043,0000,0000,0,122557,0000,0000,0,146679,0000,0000,0,173308,0000,0000,0,172164,0000,0000,0,151665,0000,0000,0,174144,0000,0000,0,31811,0000,0000,0,31865,0000,0000,0,28333,0000,0000,0,32267,0000,0000
"Chase, NE",31029,0,62205,0000,0000,0,59603,0000,0000,0,72039,0000,0000,0,72406,0000,0000,0,73591,0000,0000,0,68315,0000,0000,0,75883,0000,0000,0,26591,0000,0000,0,26799,0000,0000,0,25061,0000,0000,0,28001,0000,0000
"Cherry, NE",31031,0,67338,0000,0000,0,72697,0000,0000,0,84327,0000,0000,0,85967,0000,0000,0,86260,0000,0000,0,85306,0000,0000,0,84460,0000,0000,0,20576,0000,0000,0,21090,0000,0000,0,21022,0000,0000,0,20731,0000,0000
"Cheyenne, NE",31033,0,214677,0000,0000,0,210380,0000,0000,0,252222,0000,0000,0,261317,0000,0000,0,271586,0000,0000,0,278252,0000,0000,0,317692,0000,0000,0,32792,0000,0000,0,33426,0000,0000,0,34344,0000,0000,0,38295,0000,0000
"Clay, NE",31035,0,111708,0000,0000,0,95439,0000,0000,0,112814,0000,0000,0,112906,0000,0000,0,112338,0000,0000,0,112109,0000,0000,0,119674,0000,0000,0,28411,0000,0000,0,27751,0000,0000,0,27957,0000,0000,0,29274,0000,0000
"Colfax, NE",31037,0,177588,0000,0000,0,174794,0000,0000,0,189965,0000,0000,0,200703,0000,0000,0,202750,0000,0000,0,206848,0000,0000,0,220683,0000,0000,0,29231,0000,0000,0,29663,0000,0000,0,31166,0000,0000,0,33625,0000,0000
"Cuming, NE",31039,0,198191,0000,0000,0,208309,0000,0000,0,253913,0000,0000,0,236029,0000,0000,0,226851,0000,0000,0,197539,0000,0000,0,228316,0000,0000,0,36828,0000,0000,0,34970,0000,0000,0,31846,0000,0000,0,36287,0000,0000
"Custer, NE",31041,0,178748,0000,0000,0,163478,0000,0000,0,209988,0000,0000,0,201803,0000,0000,0,214944,0000,0000,0,207982,0000,0000,0,238901,0000,0000,0,28588,0000,0000,0,29582,0000,0000,0,28727,0000,0000,0,32717,0000,0000
