Areaname,STCOU,EAN010201F,EAN010201D,EAN010201N1,EAN010201N2,EAN010202F,EAN010202D,EAN010202N1,EAN010202N2,EAN010203F,EAN010203D,EAN010203N1,EAN010203N2,EAN010204F,EAN010204D,EAN010204N1,EAN010204N2,EAN010205F,EAN010205D,EAN010205N1,EAN010205N2,EAN010206F,EAN010206D,EAN010206N1,EAN010206N2,EAN010207F,EAN010207D,EAN010207N1,EAN010207N2,EAN012204F,EAN012204D,EAN012204N1,EAN012204N2,EAN012205F,EAN012205D,EAN012205N1,EAN012205N2,EAN012206F,EAN012206D,EAN012206N1,EAN012206N2,EAN012207F,EAN012207D,EAN012207N1,EAN012207N2
"Larimer, CO",08069,0,5867547,0000,0000,0,6158740,0000,0000,0,6186667,0000,0000,0,6506444,0000,0000,0,6872556,0000,0000,0,7187319,0000,0000,0,7483343,0000,0000,0,36338,0000,0000,0,37461,0000,0000,0,38440,0000,0000,0,39099,0000,0000
"Las Animas, CO",08071,0,176581,0000,0000,0,192642,0000,0000,0,194334,0000,0000,0,214523,0000,0000,0,234009,0000,0000,0,259299,0000,0000,0,277721,0000,0000,0,25508,0000,0000,0,27267,0000,0000,0,29273,0000,0000,0,30429,0000,0000
"Lincoln, CO",08073,0,74869,0000,0000,0,73142,0000,0000,0,77921,0000,0000,0,83177,0000,0000,0,87648,0000,0000,0,80133,0000,0000,0,96173,0000,0000,0,23874,0000,0000,0,24808,0000,0000,0,22928,0000,0000,0,27917,0000,0000
"Logan, CO",08075,0,378517,0000,0000,0,364090,0000,0000,0,381223,0000,0000,0,373697,0000,0000,0,394545,0000,0000,0,403057,0000,0000,0,425877,0000,0000,0,29619,0000,0000,0,30413,0000,0000,0,31143,0000,0000,0,32408,0000,0000
"Mesa, CO",08077,0,2018361,0000,0000,0,2143670,0000,0000,0,2217054,0000,0000,0,2388478,0000,0000,0,2604280,0000,0000,0,2863857,0000,0000,0,3169811,0000,0000,0,30878,0000,0000,0,32574,0000,0000,0,34467,0000,0000,0,36246,0000,0000
"Mineral, CO",08079,0,13604,0000,0000,0,14129,0000,0000,0,15260,0000,0000,0,16839,0000,0000,0,16699,0000,0000,0,18162,0000,0000,0,18378,0000,0000,0,20815,0000,0000,0,20900,0000,0000,0,22285,0000,0000,0,21749,0000,0000
"Moffat, CO",08081,0,202900,0000,0000,0,211349,0000,0000,0,225007,0000,0000,0,247244,0000,0000,0,264026,0000,0000,0,287740,0000,0000,0,300209,0000,0000,0,33443,0000,0000,0,34441,0000,0000,0,36664,0000,0000,0,37987,0000,0000
"Montezuma, CO",08083,0,308645,0000,0000,0,316183,0000,0000,0,332874,0000,0000,0,345193,0000,0000,0,373124,0000,0000,0,391161,0000,0000,0,414270,0000,0000,0,24599,0000,0000,0,25807,0000,0000,0,26476,0000,0000,0,27701,0000,0000
"Montrose, CO",08085,0,544544,0000,0000,0,575782,0000,0000,0,600870,0000,0000,0,662842,0000,0000,0,716645,0000,0000,0,761815,0000,0000,0,807769,0000,0000,0,29517,0000,0000,0,30862,0000,0000,0,31868,0000,0000,0,32947,0000,0000
"Morgan, CO",08087,0,467052,0000,0000,0,457148,0000,0000,0,489955,0000,0000,0,491213,0000,0000,0,506008,0000,0000,0,538429,0000,0000,0,552034,0000,0000,0,31363,0000,0000,0,31975,0000,0000,0,33838,0000,0000,0,34954,0000,0000
